,index_No,PB,PlayerId,Level,PlayerTeam,LR,pos1,pos2,#,Name,Player,pt_No,pt,num_pt,pt_rate,spdP,SpinRate,pitY,pitX,AtBox,AVE,SLG,spdB_ave,spdB_max,brzY_ave,num_pt(Z-in),SWG(Z-in),MISS(Z-in),num_pt(Z-out),SWG(Z-out),MISS(Z-out)
3434,648.0,Batter,91795130,NPB,BAY_STA,Left,内野手,遊撃手,#5,倉本　寿彦,"Kuramoto, Toshihiko",6,ChangeUp,1,0.07142857142857142,124.74956200000001,1546.171154,44.8581272,30.710809800000003,0,,,,,,0,,,1,1.0,1.0
3435,648.0,Batter,91795130,NPB,BAY_STA,Left,内野手,遊撃手,#5,倉本　寿彦,"Kuramoto, Toshihiko",9,all,14,1.0,144.03620740000002,2377.5504810714287,38.28372182857142,11.76118334285714,6,0.16666666666666666,0.16666666666666666,135.44188434000003,145.0754417,34.947055,8,1.0,0.25,6,0.5,0.3333333333333333
3436,649.0,Batter,41245130,NPB,SAI_LIO,Right,内野手,二塁手,#5,外崎　修汰,"Tonosaki, Shuta",0,Fastball,122,0.4280701754385965,146.11558774262295,2274.157862336065,47.42322406557377,10.610888516393441,34,0.29411764705882354,0.47058823529411764,145.7611914769231,170.4377234,63.360563,66,0.7272727272727273,0.14583333333333334,56,0.19642857142857142,0.2727272727272727
3437,649.0,Batter,41245130,NPB,SAI_LIO,Right,内野手,二塁手,#5,外崎　修汰,"Tonosaki, Shuta",1,Sinker,11,0.03859649122807018,139.6758032090909,2110.056304,31.223859781818177,12.695298690909091,3,0.0,0.0,125.90014313333334,148.26747600000002,54.085433,5,1.0,0.0,6,0.5,0.6666666666666666
3438,649.0,Batter,41245130,NPB,SAI_LIO,Right,内野手,二塁手,#5,外崎　修汰,"Tonosaki, Shuta",2,Cutter,30,0.10526315789473684,137.84306893,2431.7054142333336,18.624708326666664,2.1343560733333335,5,0.0,0.0,119.1761606,144.3052982,-5.960879,12,0.5833333333333334,0.0,18,0.2777777777777778,0.6
3439,649.0,Batter,41245130,NPB,SAI_LIO,Right,内野手,二塁手,#5,外崎　修汰,"Tonosaki, Shuta",3,Slider,47,0.1649122807017544,129.2721013276596,2538.8614721914896,0.5267760042553196,-1.3134891234042552,9,0.0,0.0,139.8004699,157.3229049,46.919543,26,0.5384615384615384,0.07142857142857142,21,0.3333333333333333,0.42857142857142855
3440,649.0,Batter,41245130,NPB,SAI_LIO,Right,内野手,二塁手,#5,外崎　修汰,"Tonosaki, Shuta",4,Curveball,24,0.08421052631578947,114.73452144583335,2542.2496335416668,-36.76109085833333,-3.647312999999999,2,0.0,0.0,113.85757390000002,113.85757390000002,-27.594367,10,0.3,0.6666666666666666,14,0.14285714285714285,0.5
3441,649.0,Batter,41245130,NPB,SAI_LIO,Right,内野手,二塁手,#5,外崎　修汰,"Tonosaki, Shuta",5,Splitter,39,0.1368421052631579,135.53331805641028,1439.0101014102565,14.630460569230772,4.773506015384616,5,0.4,0.8,166.93154590000003,180.5856661,13.133774,12,0.8333333333333334,0.3,27,0.4074074074074074,0.45454545454545453
3442,649.0,Batter,41245130,NPB,SAI_LIO,Right,内野手,二塁手,#5,外崎　修汰,"Tonosaki, Shuta",6,ChangeUp,12,0.042105263157894736,126.28942235000001,1706.6403860833334,31.671992366666668,-0.346100400000001,3,0.3333333333333333,0.3333333333333333,137.36402470000002,149.9598114,8.595316,6,0.6666666666666666,0.5,6,0.6666666666666666,0.0
3443,649.0,Batter,41245130,NPB,SAI_LIO,Right,内野手,二塁手,#5,外崎　修汰,"Tonosaki, Shuta",9,all,285,1.0,137.2930433589474,2212.458245480702,23.792916510877195,5.371759283508772,61,0.21311475409836064,0.3442622950819672,141.56912175000002,180.5856661,63.360563,137,0.6642335766423357,0.16483516483516483,148,0.2905405405405405,0.3953488372093023
