,PitcherId,PitcherTeam,Pitcher,Inning,Date,d_i,チーム,選手,背番号#,pos1,pos2,num_pit,num_fb,strike_fb,swg_fb,miss_fb,spdP_min,SpinRate_min,pitY_min,pitX_min,SpinAxis_min,relX_min,relY_min,relZ_min,spdP_ave,SpinRate_ave,pitY_ave,pitX_ave,SpinAxis_ave,relX_ave,relY_ave,relZ_ave,spdP_max,SpinRate_max,pitY_max,pitX_max,SpinAxis_max,relX_max,relY_max,relZ_max,spdP_std,SpinRate_std,pitY_std,pitX_std,SpinAxis_std,relX_std,relY_std,relZ_std,spdP_com,SpinRate_com,pitY_com,pitX_com,SpinAxis_com,relX_com,relY_com,relZ_com,rate_fb,strike%_fb,miss%_fb
1260,51555137,MIN_GIA,"Kagiya, Yohei",all,all,,巨人,鍵谷　陽平,#30,投手,中継ぎ,78,37,26.0,22.0,4.0,138.0,2010.0,24.0,17.0,200.0,0.0,1.0,1.0,143.0,2165.0,43.0,30.0,216.0,0.0,1.0,1.0,147.0,2250.0,54.0,44.0,242.0,0.0,1.0,1.0,1.0,62.0,5.0,7.0,7.0,0.0,0.0,0.0,1.0222236836768337,1.0393665989234875,1.2582182173078063,1.4668696623197182,1.119617589750789,1.2470211960444821,1.0416708687489167,1.0520278581754665,0.47435897435897434,0.7027027027027027,0.18181818181818182
1261,51155155,YOM_GIA,"Akahoshi, Yuji",1,5,,巨人,赤星　優志,#31,投手,先発,89,46,24.0,10.0,5.0,142.0,2168.0,36.0,28.0,211.0,0.0,1.0,1.0,146.0,2373.0,46.0,37.0,220.0,0.0,1.0,1.0,151.0,2564.0,53.0,44.0,229.0,0.0,1.0,1.0,2.0,85.0,4.0,3.0,4.0,0.0,0.0,0.0,1.0353381133040627,1.0856662758132916,1.1635891900706872,1.1999637790166682,1.0377656500597332,1.1846612351138057,1.0464094127360697,1.0429901222854336,0.5168539325842697,0.5217391304347826,0.5
1262,51155155,YOM_GIA,"Akahoshi, Yuji",2,5,,巨人,赤星　優志,#31,投手,先発,69,35,19.0,13.0,2.0,141.0,2191.0,39.0,29.0,212.0,0.0,1.0,1.0,145.0,2368.0,47.0,37.0,220.0,0.0,1.0,1.0,149.0,2529.0,52.0,45.0,229.0,0.0,1.0,1.0,1.0,78.0,3.0,3.0,4.0,0.0,0.0,0.0,1.0228791965020183,1.0708281588123256,1.1270844462276195,1.2099831443146218,1.041354311430814,1.1140493182551627,1.038395909022793,1.0441197008175933,0.5072463768115942,0.5428571428571428,0.15384615384615385
1263,51155155,YOM_GIA,"Akahoshi, Yuji",3,5,,巨人,赤星　優志,#31,投手,先発,73,31,21.0,10.0,0.0,141.0,2194.0,38.0,30.0,212.0,0.0,1.0,1.0,145.0,2360.0,46.0,37.0,220.0,0.0,1.0,1.0,147.0,2470.0,53.0,43.0,230.0,0.0,1.0,1.0,1.0,68.0,3.0,3.0,4.0,0.0,0.0,0.0,1.0113896873993449,1.0459376169816639,1.158167383823491,1.177250951875161,1.041722238526681,1.224512757855897,1.022071679036881,1.038832120288265,0.4246575342465753,0.6774193548387096,0.0
1264,51155155,YOM_GIA,"Akahoshi, Yuji",4,4,,巨人,赤星　優志,#31,投手,先発,58,24,12.0,9.0,1.0,145.0,2229.0,40.0,31.0,212.0,0.0,1.0,1.0,146.0,2409.0,45.0,38.0,221.0,0.0,1.0,1.0,149.0,2544.0,54.0,45.0,228.0,0.0,1.0,1.0,1.0,88.0,3.0,4.0,4.0,0.0,0.0,0.0,1.0231124009917714,1.076932605956492,1.1769428980498924,1.2129135027813434,1.035812834111934,1.1476491333670884,1.0219451197535414,1.029456798627405,0.41379310344827586,0.5,0.1111111111111111
1265,51155155,YOM_GIA,"Akahoshi, Yuji",5,4,,巨人,赤星　優志,#31,投手,先発,59,27,20.0,14.0,0.0,142.0,2225.0,34.0,28.0,216.0,0.0,1.0,1.0,145.0,2330.0,44.0,37.0,222.0,0.0,1.0,1.0,148.0,2428.0,50.0,46.0,232.0,0.0,1.0,1.0,1.0,59.0,4.0,3.0,3.0,0.0,0.0,0.0,1.0137358391847255,1.0280802596219927,1.0867797195806579,1.236841025023763,1.0529745517583573,1.0851569642671466,1.0189364604268767,1.058081795912072,0.4576271186440678,0.7407407407407407,0.0
1266,51155155,YOM_GIA,"Akahoshi, Yuji",6,4,,巨人,赤星　優志,#31,投手,先発,58,27,15.0,10.0,1.0,143.0,2137.0,39.0,29.0,213.0,0.0,1.0,1.0,146.0,2341.0,46.0,36.0,219.0,0.0,1.0,1.0,148.0,2514.0,54.0,46.0,230.0,0.0,1.0,1.0,1.0,85.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0163243428949489,1.0643393669967935,1.1733552446345499,1.2527421791903182,1.0455875426345205,1.125232651824662,1.01547142065423,1.05344998346202,0.46551724137931033,0.5555555555555556,0.1
1267,51155155,YOM_GIA,"Akahoshi, Yuji",7,3,,巨人,赤星　優志,#31,投手,先発,51,18,12.0,9.0,1.0,143.0,2213.0,38.0,27.0,211.0,0.0,1.0,1.0,146.0,2342.0,46.0,35.0,219.0,0.0,1.0,1.0,149.0,2455.0,57.0,43.0,230.0,0.0,1.0,1.0,1.0,64.0,5.0,4.0,5.0,0.0,0.0,0.0,1.0202520090602718,1.0394240049493775,1.237586256308224,1.1546937851578891,1.0438542312204304,1.1949894214244645,1.018424470598821,1.0369873221751367,0.35294117647058826,0.6666666666666666,0.1111111111111111
1268,51155155,YOM_GIA,"Akahoshi, Yuji",all,all,,巨人,赤星　優志,#31,投手,先発,457,208,123.0,75.0,10.0,141.0,2137.0,34.0,27.0,211.0,0.0,1.0,1.0,146.0,2362.0,46.0,37.0,220.0,0.0,1.0,1.0,151.0,2564.0,57.0,46.0,232.0,0.0,1.0,1.0,1.0,79.0,4.0,3.0,4.0,0.0,0.0,0.0,1.0353381133040627,1.0856662758132916,1.237586256308224,1.2527421791903182,1.0529745517583573,1.224512757855897,1.0464094127360697,1.058081795912072,0.4551422319474836,0.5913461538461539,0.13333333333333333
1269,21525151,MIN_GIA,"Ohta, Ryu",9,2,,巨人,太田　龍,#33,投手,先発,32,14,7.0,3.0,2.0,137.0,1990.0,43.0,13.0,194.0,0.0,1.0,1.0,142.0,2121.0,50.0,23.0,206.0,0.0,1.0,1.0,146.0,2229.0,55.0,36.0,220.0,0.0,1.0,1.0,2.0,77.0,4.0,6.0,7.0,0.0,0.0,0.0,1.0268083059329918,1.0509121701434367,1.0950174066607306,1.5165527272019435,1.0649931249238085,1.1120792333547154,1.006267441554339,1.0352379976702264,0.4375,0.5,0.6666666666666666
