,チーム,選手,背番号#,pos1,pos2,pt,pt_rate,PitcherId,PitcherThrows,PitcherTeam,Pitcher,num_all,num,strike,swg,miss,spdP_ave,SpinRate_ave,pitY_ave,pitX_ave,SpinAxis_ave,relX_ave,relY_ave,relZ_ave,spdP_max,SpinRate_max,pitY_max,pitX_max,SpinAxis_max,relX_max,relY_max,relZ_max,spdP_std,SpinRate_std,pitY_std,pitX_std,SpinAxis_std,relX_std,relY_std,relZ_std,spdP_com,SpinRate_com,pitY_com,pitX_com,SpinAxis_com,relX_com,relY_com,relZ_com,str%,miss%
1153,巨人,大江　竜聖,#64,投手,中継ぎ,Slider,0.49122807017543857,71375134,Left,MIN_GIA,"Ohe, Ryusei",114,56,37,25,16.0,120.17845115,2624.8586068392856,16.870768446428574,32.42352998571429,245.7220778392857,-1.4443594611428574,1.1910403444285715,1.5498136208571427,127.3185424,2790.628825,29.4440102,53.437028,277.473695,-1.336773552,1.316223936,1.6839285600000002,2.2372056699378686,85.42052424760972,7.576277836054379,11.204970376024013,17.45787176284832,0.05844096117239478,0.05042393085843837,0.08495287445697658,0.8750405642843829,1.1639010786657686,0.7510525887276425,-0.6285159663227753,2.222313491377567,1.020273725505533,0.946797464918542,0.9425530097287534,0.6607142857142857,0.64
1154,巨人,大江　竜聖,#64,投手,中継ぎ,ChangeUp,0.03508771929824561,71375134,Left,MIN_GIA,"Ohe, Ryusei",114,4,2,1,0.0,121.5276139,1208.2360362499999,2.8896246499999996,-24.56538775,85.78580325,-1.4326575360000002,1.191374808,1.6931822880000003,123.48505190000002,1438.720585,8.8126062,-17.6532032,100.200214,-1.377872784,1.259805456,1.74501048,1.6681585871173183,175.72714368764548,7.049207996486263,5.361375541194304,18.563522434147988,0.03930156293116908,0.04729954883587217,0.041582329098990574,0.8848640569552774,0.5357497056070305,0.12864026204408827,0.47618931148420973,0.7758478587171412,1.0120076621866116,0.9470633411023484,1.0297457965888686,0.5,0.0
1155,巨人,戸田　懐生,#90,投手,先発,Fastball,0.43119266055045874,91495153,Right,YOM_GIA,"Toda, Natsuki",218,94,58,42,5.0,145.67112491489362,2180.0632649361696,55.43767899574467,17.258499899999997,198.20090288297868,0.40213969582978737,1.720372782638298,1.6455067365957445,149.2010506,2383.802081,65.1500348,30.6854098,213.932722,0.49586388,1.819726104,1.7702692560000002,1.7820303382973282,81.61349744465052,4.127360901850737,4.647691350086141,4.896976940704743,0.03792204843712492,0.047870156164564644,0.06102150337702725,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6170212765957447,0.11904761904761904
1156,巨人,戸田　懐生,#90,投手,先発,Cutter,0.1651376146788991,91495153,Right,YOM_GIA,"Toda, Natsuki",218,36,25,18,4.0,134.49806012222223,2494.1193571944445,2.5451456166666673,-10.096330666666667,88.9528312222222,0.5508299033333334,1.6715699359999998,1.5245148579999999,137.2084504,2629.085044,15.8296102,-1.9567906,140.040446,0.613422192,1.74633636,1.638507264,1.636366995691318,58.36952416801664,6.786755990899538,3.5339824202665344,33.03205466707426,0.04474323892723069,0.04609712604298775,0.06434131605464394,0.9232993855220167,1.1440582469827867,0.04591003199939214,-0.5850062708327662,0.4488013421146801,1.3697476499969348,0.9716324001804679,0.9264713562667906,0.6944444444444444,0.2222222222222222
1157,巨人,戸田　懐生,#90,投手,先発,Slider,0.13302752293577982,91495153,Right,YOM_GIA,"Toda, Natsuki",218,29,21,16,5.0,127.63906397586207,2529.8978293103455,-11.411624413793103,-21.789355841379308,54.259343620689656,0.4931614601379311,1.651998868137931,1.4427681724137933,131.9289545,2623.240156,-2.4076914,-10.0251006,76.472525,0.55514748,1.767422424,1.578263544,2.5257287290055777,62.978195344604586,5.904843678893264,7.652452691482797,15.18622660919993,0.02782033860884123,0.043725525511459244,0.06364794347669812,0.8762138965456158,1.160469913878586,-0.20584599897605824,-1.2625289548704817,0.27375931608508025,1.226343644390357,0.9602563379342055,0.8767926258379345,0.7241379310344828,0.3125
1158,巨人,戸田　懐生,#90,投手,先発,Curveball,0.08256880733944955,91495153,Right,YOM_GIA,"Toda, Natsuki",218,18,10,6,1.0,117.50067206111112,2591.0455764999997,-30.76643297777778,-31.068852433333333,41.78591327777778,0.48459999600000003,1.6558275240000002,1.4777572680000002,119.9860389,2725.72563,-16.4951156,-22.2333058,56.901139,0.588318864,1.7233452960000002,1.535256264,2.057463532709143,85.30019040126761,8.08376943988494,5.635914520487223,6.973583077511477,0.04912656890375276,0.03630571883447422,0.03893910124250443,0.8066160821491513,1.1885185252070487,-0.5549733238316015,-1.8002058471682896,0.21082604907430175,1.2050538681590772,0.9624818183072429,0.8980560426371832,0.5555555555555556,0.16666666666666666
1159,巨人,戸田　懐生,#90,投手,先発,Splitter,0.18807339449541285,91495153,Right,YOM_GIA,"Toda, Natsuki",218,41,32,28,8.0,133.90387238780488,1522.2595070487805,14.100281556097562,15.969624292682926,236.23517485365855,0.5349598325853658,1.6629986874146343,1.536829552390244,137.17216100000002,1728.078286,31.5256164,31.6314074,305.486713,0.634023624,1.748869248,1.6526073120000002,1.6912093805895672,75.74583634756603,9.21821939104822,8.608059335666603,29.218817545897384,0.046462265506037846,0.04335749130335616,0.06547992112455567,0.9192204183638755,0.6982639134985612,0.25434473108406797,0.9253193722058618,1.1918975716933842,1.3302835759138707,0.9666501959327228,0.9339551873058058,0.7804878048780488,0.2857142857142857
1160,巨人,堀田　賢慎,#91,投手,先発,Fastball,0.63125,21625151,Right,YOM_GIA,"Hotta, Kenshin",160,101,67,50,12.0,145.47171195643566,2387.3577235049506,55.90752127722772,29.425782807920786,208.98387338613855,0.5080239514455447,1.9195553467722772,1.7520706438811882,150.99892150000002,2547.837502,63.7110232,40.9606242,218.594265,0.590931,1.978993248,1.819025064,1.9762680930680243,70.87452975557282,3.2030573014888724,4.621220232931783,4.176243796437449,0.037836737089358564,0.0184556944302605,0.03005616082197089,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6633663366336634,0.24
1161,巨人,堀田　賢慎,#91,投手,先発,Slider,0.125,21625151,Right,YOM_GIA,"Hotta, Kenshin",160,20,11,5,0.0,126.28170401,2370.3795827,-7.67706491,-9.743243149999998,43.440707550000006,0.5927556852,1.8488799192000003,1.6631646696,132.5507848,2505.719558,9.846818,-0.6679946,130.029051,0.670398456,1.890774984,1.7182033200000002,2.876369347384619,74.08999605072616,6.264961332815311,5.268344057184725,29.915354947871624,0.03329130777200206,0.021944573836061226,0.037938258777095106,0.8680842640239054,0.9928883130342006,-0.13731721125556368,-0.3311124537824471,0.20786631449659662,1.166786887731095,0.9631813546344901,0.9492566269564088,0.55,0.0
1162,巨人,堀田　賢慎,#91,投手,先発,Curveball,0.1125,21625151,Right,YOM_GIA,"Hotta, Kenshin",160,18,9,6,2.0,113.27996761666667,2148.9274141111114,-37.74183318888889,-20.024555666666668,25.462151277777778,0.533513792,1.8604807426666667,1.5931901080000002,117.7976142,2308.46334,-25.256210600000003,-12.1079006,38.540563,0.5808024960000001,1.9032382560000003,1.6978122,2.6389068215995906,90.9949934499718,6.120116632822479,5.280449452634777,7.098542528917176,0.029274675680908743,0.026229429309721497,0.08457243813550391,0.7787078744944623,0.9001279502244881,-0.6750761315590986,-0.6805105508111237,0.12183787612516625,1.0501744858326578,0.9692248498044382,0.9093184190739959,0.5,0.3333333333333333
